Aka,RRV,C2-Modification,Alcohol_type,Alcohol_position,C1_stereo_donor,C6_Modification,Solvent,C4_stereo_donor,C6-Modification_a,Concentartion,temperature,C4-Modification_a,a_2_sub,C3_Modification_a,Stoichiometery,C1_Modification-a,C1_stereo_acceptor,a-ratio
x18,x9,x3,x17,x16,x2,x8,x20,x7,x15,x21,x19,x14,x12,x13,x22,x10,x11,y1
1.36,72000,OBn,Secondary,1_OH,b,CH3,THF,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,THF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,47
80,17000,OBn,tertiary,1_OH,b,OBn,Toluene,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,38
100,72000,OBn,primary,1_OH,b,CH3,Toluene,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,20
100,1000000,H,primary,1_OH,a,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,41
1.36,270,N3,Secondary,1_OH,b,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,85
1.36,2656,OBn,Secondary,1_OH,b,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,70
1.36,72000,OBn,Secondary,1_OH,b,CH3,Toluene,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,Toluene,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,18
80,17000,OBn,tertiary,1_OH,b,OBn,DCM/ACN,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,40
100,72000,OBn,primary,1_OH,b,CH3,DCM/ACN,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,26
100,1000000,H,primary,1_OH,a,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,40
1.36,270,N3,Secondary,1_OH,b,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,62
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,69
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM/ACN,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM/ACN,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
100,2656,OBn,primary,1_OH,b,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,Trace
80,17000,OBn,tertiary,1_OH,b,OBn,DCM/DMF,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
100,72000,OBn,primary,1_OH,b,CH3,DCM/DMF,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,76
100,1000000,H,primary,1_OH,a,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,73
1.36,270,N3,Secondary,1_OH,b,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM/DMF,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM/DMF,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
100,270,N3,primary,1_OH,b,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
100,2656,OBn,primary,1_OH,b,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,33
80,17000,OBn,tertiary,1_OH,b,OBn,DCM/p-Dioxane,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,45
100,72000,OBn,primary,1_OH,b,CH3,DCM/p-Dioxane,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,38
100,1000000,H,primary,1_OH,a,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,45
1.36,270,N3,Secondary,1_OH,b,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,78
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,47
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM/p-Dioxane,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM/p-Dioxane,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,11
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,24
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,0
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,No Reaction
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,59
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,71
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM,axial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM,equatorial,-,0.308M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,27
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,27
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,66
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,18
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,55
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,71
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM,axial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM,equatorial,-,0.051M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,13
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,40
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,83
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,20
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,55
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,71
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM,axial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM,equatorial,-,0.036M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,12
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,27
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,91
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,19
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,52
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,62
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM,axial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM,equatorial,-,0.018M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,0
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,21
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,30
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,100
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:0.66,-,-,77
